舍得,实无所舍，亦无所得。
智慧,智慧与成熟同至。
旅行,行走，不停歇的行走，身后一片烂漫。
重生,往事若能下酒，回忆便是一场宿醉。
做自己,to be yourself
活在当下,行在今日。
健康,人生最大幸福就是健康的活着。
自信,深窥自己的心，而后发现一切的奇迹在你自己。
充实,对自己的不满足，是智者的特征之一。
感恩,我失去过，更珍惜拥有。
幸运,吉普赛人说，倒霉之后便是幸运。
虔诚,虔诚就是远离一切罪恶。
有趣,预料之外的欢喜。
乐观,不管发生什么事，都请安静且愉快地接受人生。勇敢地，大胆地，而且永远微笑着。
简单,简单是终极的复杂。
淳朴,不被理解的淳朴只好一直伪装。
专一,弱水三千，只取一瓢饮。
主见,当心，不要使你的脑子成了他人的跑马场。
理解,人其实挺矛盾的，总是希望被理解，又害怕别人看穿。
完整,最好的时光，那些想起来就会微笑的时光，完整了一生。
上进,我要一步一步往上爬，在最高点乘着叶片往前飞。
桃花运,只是因为在人群中多看了你一眼。
无畏,虽千万人，吾往矣。
勇敢,明知不可为而为之。
坚强,有时候，假装坚强的久了，内心也就真的强大了。
勇气,什么话都别说，转身就走。
坚持,因为不甘心。
知足,当你羡慕别人有鞋的时候，还有人羡慕你有脚。
财富,取本分之财，戒无名之酒；怀克己之心，闭是非之口。
成功,成功是一个过程，而非一个点。
