浪漫,是爱，是暖，是人间四月天。
强壮,强壮不只在于身体，还有心灵。
风趣,人生难得风趣。
忠实,等我搬到城里去，开着大奔来接你。
干净,想念你白色袜子，和你身上淡淡的味道。
幽默,幽默是生活波涛中的救生圈。
大胆,无所畏惧。
可靠,给我诺言，不说抱歉。
力量,三寸之舌能驱使五尺之躯。
专注,蟹六跪而二螯，非蛇之穴无可寄托者，用心躁也。
人脉,没有任何一个有钱人可以伟大到不需要朋友。
冷静,有些事情本身我们无法控制，只好控制自己。
地位,你拼不过家里有钱但却又十分努力的人。
成长,总有一次流泪，让我们瞬间长大。
细节,致广大而尽精微。
效率,效率就是第一次把事情做对。
成熟,把蛋煮熟容易，使人成熟难。
安全感,上衣扎进秋裤里，秋裤扎进袜子里。
责任心,总有些事情需要人去做。
顾家,家，很简单，内容，却丰富。
王者,曾经我也是个王者，现在我只想说算了。
浪子,原谅我这一生放纵不羁爱自由。
会做饭,柴米油盐酱醋茶，这便是味道
担当,男人的担当是挣钱养家。
正义感,心存正义，明辨是非。
英俊潇洒,一枝梨花压海棠。
有品位,品味只与心态有关。
壁咚,零毛孔，不惧高清，不怕壁咚。
理智,理性是罗盘，欲望是暴风雨。
血性,男子汉大丈夫。
